"analysis","group","pathway","n_pathway_genes","n_in_expression_data","n_overlap_EN_model_features","status","n_test","n_control","cohens_d_scaled","wilcox_p_scaled","cohens_d_yugene","wilcox_p_yugene","p_adj_scaled","p_adj_yugene","efficiency_score_scaled","efficiency_score_yugene"
"meta_analysis","SSCQ","HALLMARK_APOPTOSIS",161,145,112,"OK",22,91,0.0345906520842682,0.594062217448176,0.0872607062360834,0.813694974755864,0.66748563758222,0.870262005086486,0.00506237507300147,0.0127706879600271
"meta_analysis","SSCQ","HALLMARK_BILE_ACID_METABOLISM",112,79,63,"OK",22,91,-0.791657304425886,0.108246001745735,1.10788806578764,1.13057052586463e-05,0.154086835225246,6.32000658038946e-05,0.131452832009573,0.183962205594766
"meta_analysis","SSCQ","HALLMARK_CHOLESTEROL_HOMEOSTASIS",74,69,56,"OK",22,91,-0.736875060416441,0.0011454147543013,-0.570335645830872,0.00442622411296533,0.00267933275859953,0.00908321274453997,0.12578993701573,0.0973604465950392
"meta_analysis","SSCQ","HALLMARK_COAGULATION",138,98,66,"OK",22,91,0.608818711343591,0.0589023605892334,-0.0563391597124102,0.780115280936074,0.0895853392992143,0.841094642518678,0.100011897767665,0.00925494925909697
"meta_analysis","SSCQ","HALLMARK_COMPLEMENT",200,154,104,"OK",22,91,0.809426011844489,0.00167015579890606,0.577012941096767,0.0345403276336806,0.00377436338735833,0.0603324500151627,0.120308499083918,0.0857639362702942
"meta_analysis","SSCQ","HALLMARK_DNA_REPAIR",150,147,93,"OK",22,91,0.735048079514898,0.00305558645967707,0.325009915042716,0.284825139839738,0.00657115367672489,0.372320444234951,0.111881923033866,0.0494698718538936
"meta_analysis","SSCQ","HALLMARK_E2F_TARGETS",200,200,136,"OK",22,91,0.505529777610778,0.00335611719459838,0.678164990012817,0.0127468094709733,0.00699079201824012,0.023937670368025,0.0711159932957313,0.0954016539066934
"meta_analysis","SSCQ","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,199,153,"OK",22,91,-0.621146504125762,0.00208319393719127,-0.0680926754818087,0.735982788943595,0.00462931986042503,0.808772295542413,0.0853677685438573,0.00935837152982849
"meta_analysis","SSCQ","HALLMARK_ESTROGEN_RESPONSE_EARLY",200,172,137,"OK",22,91,0.801590416737464,0.00385758766768163,-0.0461304782204752,0.374398552484709,0.00791300034396231,0.477128282858491,0.112599670168473,0.00647996348743858
"meta_analysis","SSCQ","HALLMARK_ESTROGEN_RESPONSE_LATE",200,155,131,"OK",22,91,0.0947466771982277,0.549693900952338,-0.340711273487487,0.052418668067548,0.633652911760621,0.0845462388186258,0.0134291827526954,0.0482916561600816
"meta_analysis","SSCQ","HALLMARK_FATTY_ACID_METABOLISM",158,133,94,"OK",22,91,-0.57126408224304,0.0159087031377502,0.319212197699662,0.0127468094709733,0.0281569967039827,0.023937670368025,0.0867528223859251,0.0484759324999502
