analysis,label,model,pathway,cohens_d,p_permutation,p_floor,n_perm,n_distinct_splits,n_test,n_control
meta_analysis,SSCQ,scaled,HALLMARK ESTROGEN RESPONSE EARLY,0.38291145806098703,0.10644677661169415,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK ESTROGEN RESPONSE LATE,-0.6816263009171323,0.005497251374312844,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK FATTY ACID METABOLISM,-0.22527768446843333,0.3363318340829585,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK G2M CHECKPOINT,0.5349565145565893,0.0239880059970015,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK GLYCOLYSIS,-0.02032133318417815,0.928535732133933,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK HEDGEHOG SIGNALING,-1.3247393892748582,0.0004997501249375312,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK HEME METABOLISM,1.6578272383598993,0.0004997501249375312,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK HYPOXIA,0.6533100319817166,0.00399800099950025,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK IL2 STAT5 SIGNALING,0.6321364354421337,0.00849575212393803,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK IL6 JAK STAT3 SIGNALING,-0.5587182345095069,0.02148925537231384,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK INFLAMMATORY RESPONSE,0.23063394937761553,0.3488255872063968,1.3621868410783912e-23,2000,146822736770579605107120,22,91
