condition,pathway,n_measured_genes,set_net,set_sum_positive,set_sum_negative,cancellation_ratio,frac_genes_with_set_net
CICQ,HALLMARK MTORC1 SIGNALING,129,-0.021316981018530176,0.10873169496741299,-0.13004867598594316,11.2014159390484,0.5581395348837209
CICQ,HALLMARK MYC TARGETS,137,-0.030497866045550194,0.07920951144883362,-0.10970737749438382,6.19442975652985,0.5328467153284672
CICQ,HALLMARK MYOGENESIS,128,0.0841955800343038,0.24755530586074448,-0.1633597258264407,4.8804822238859344,0.4921875
CICQ,HALLMARK NOTCH SIGNALING,24,0.0009410751909185635,0.029882017751641402,-0.028940942560722837,62.5061215936937,0.4583333333333333
CICQ,HALLMARK OXIDATIVE PHOSPHORYLATION,103,0.019385895589677533,0.05116670168346105,-0.03178080609378352,4.278755520658632,0.5048543689320388
CICQ,HALLMARK P53 PATHWAY,134,0.06609156788093579,0.16799640634496854,-0.10190483846403277,4.083747041607931,0.5895522388059702
CICQ,HALLMARK PANCREAS BETA CELLS,11,-0.01294627994605924,0.007460962936283028,-0.020407242882342268,2.152603368283272,0.5454545454545454
CICQ,HALLMARK PEROXISOME,65,-0.01220005003237388,0.03956662201653709,-0.05176667204891097,7.486304877692085,0.6153846153846154
CICQ,HALLMARK PI3K AKT MTOR SIGNALING,71,-0.006285238535196602,0.046241345345040694,-0.0525265838802373,15.714269024507045,0.49295774647887325
CICQ,HALLMARK PROTEIN SECRETION,73,-0.010765585661512027,0.026584853184980772,-0.0373504388464928,5.938858696749608,0.5342465753424658
CICQ,HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,25,-0.006256140408627956,0.009940402738787553,-0.016196543147415508,4.177806791253778,0.44
CICQ,HALLMARK SPERMATOGENESIS,59,-0.01708210497857254,0.03805112268523123,-0.05513322766380377,5.455085919792885,0.5932203389830508
CICQ,HALLMARK TGF BETA SIGNALING,39,0.00981007159700239,0.04015049608450139,-0.030340424487499008,7.1855663717622535,0.5641025641025641
CICQ,HALLMARK TNFA SIGNALING VIA NFKB,158,-0.01754152194681618,0.19056776291447403,-0.20810928486129024,22.727620156592227,0.5126582278481012
CICQ,HALLMARK UNFOLDED PROTEIN RESPONSE,79,0.01360205998304923,0.04626781795095214,-0.032665757967902914,5.803060420055594,0.5316455696202531
CICQ,HALLMARK UV RESPONSE DN,127,0.018584483551456792,0.17872463612318104,-0.16014015257172423,18.233747941214244,0.47244094488188976
CICQ,HALLMARK UV RESPONSE UP,99,0.025345662540332072,0.11902763507760013,-0.09368197253726808,8.392347498369295,0.5353535353535354
CICQ,HALLMARK WNT BETA CATENIN SIGNALING,27,0.007200828422611321,0.021168573380681923,-0.013967744958070603,4.879482786788944,0.5555555555555556
CICQ,HALLMARK XENOBIOTIC METABOLISM,115,0.07349528957802641,0.1803906931709181,-0.10689540359289172,3.9089048891876534,0.5565217391304348
CICQ,Lysosomal Genes,131,0.08570561236661524,0.15661779639490805,-0.07091218402829277,2.6547850734665563,0.5572519083969466
SSCQ,HALLMARK ADIPOGENESIS,136,-0.018163129848206873,0.09082795781950413,-0.108991087667711,11.001355336725842,0.5
SSCQ,HALLMARK ALLOGRAFT REJECTION,79,0.021864851373496547,0.07875449827239991,-0.056889646898903384,6.203753359866154,0.4936708860759494
SSCQ,HALLMARK ANDROGEN RESPONSE,71,-0.033992986761930605,0.043260228327715394,-0.077253215089646,3.545244325289083,0.43661971830985913
SSCQ,HALLMARK ANGIOGENESIS,27,-0.026969875039235983,0.02729532731873978,-0.05426520235797576,3.0241345040739214,0.48148148148148145
SSCQ,HALLMARK APICAL JUNCTION,129,0.04634518574236959,0.11008734467190576,-0.06374215892953614,3.750756433855952,0.5116279069767442
SSCQ,HALLMARK APICAL SURFACE,24,0.0017612825170759527,0.017895258206432712,-0.01613397568935676,19.320712927011932,0.4583333333333333
SSCQ,HALLMARK APOPTOSIS,112,-0.011773603086414206,0.09537168945830267,-0.10714529254471689,17.2009350507754,0.5089285714285714
SSCQ,HALLMARK BILE ACID METABOLISM,63,-0.011243989247230995,0.04420563086138435,-0.05544962010861534,8.862979924544247,0.5238095238095238
SSCQ,HALLMARK CHOLESTEROL HOMEOSTASIS,56,-0.02004608393428264,0.057162452074632705,-0.07720853600891535,6.703104133658143,0.5178571428571429
SSCQ,HALLMARK COAGULATION,65,0.056178243574881395,0.10335036324242362,-0.04717211966754224,2.679373247213232,0.5538461538461539
SSCQ,HALLMARK COMPLEMENT,104,0.038078252016948345,0.11403023590093078,-0.07595198388398243,4.9892579023940895,0.5096153846153846
SSCQ,HALLMARK DNA REPAIR,93,-0.009815458271729008,0.04394392539024527,-0.053759383661974275,9.954024187910786,0.45161290322580644
SSCQ,HALLMARK E2F TARGETS,136,0.050716484378715274,0.17788282919613882,-0.12716634481742356,6.0147933704487135,0.4485294117647059
SSCQ,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,153,-0.11829423532170741,0.14899579055276918,-0.26729002587447653,3.519071029075377,0.5620915032679739
SSCQ,HALLMARK ESTROGEN RESPONSE EARLY,137,0.02257277973468241,0.13022795171724114,-0.10765517198255872,10.538494881704775,0.5693430656934306
