analysis,label,pathway,n_studies,contrib_diff_within_study,wilcox_p,cell_type,timepoint,p_adj
meta_analysis,SSCQ,HALLMARK MYOGENESIS,6.0,0.01856240757320609,0.00010630412495359066,,,0.000385159873020256
meta_analysis,SSCQ,HALLMARK NOTCH SIGNALING,6.0,0.003383907866725039,0.37831064989865193,,,0.45252470083570806
meta_analysis,SSCQ,HALLMARK OXIDATIVE PHOSPHORYLATION,6.0,0.009033073927406527,0.6142936463514359,,,0.691772124269635
meta_analysis,SSCQ,HALLMARK P53 PATHWAY,6.0,0.04821722659511499,0.0010338845941713294,,,0.0027496930696045995
meta_analysis,SSCQ,HALLMARK PANCREAS BETA CELLS,6.0,-0.012865709645594343,2.664610131523296e-06,,,1.38781777683505e-05
meta_analysis,SSCQ,HALLMARK PEROXISOME,6.0,0.0010807996703947568,0.21099969029635335,,,0.2805846945430231
meta_analysis,SSCQ,HALLMARK PI3K AKT MTOR SIGNALING,6.0,0.002543687419465815,0.03272344656445809,,,0.05802029532705334
meta_analysis,SSCQ,HALLMARK PROTEIN SECRETION,6.0,-0.007532659858297974,0.6714261129724488,,,0.7325444154040505
meta_analysis,SSCQ,HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,6.0,-0.006888787998307173,0.5400607371220081,,,0.6165076907785481
meta_analysis,SSCQ,HALLMARK SPERMATOGENESIS,6.0,-0.017376574944027907,0.10824600174573504,,,0.16602147507014578
meta_analysis,SSCQ,HALLMARK TGF BETA SIGNALING,6.0,-0.0032007190870558372,0.7634738058653511,,,0.8087646248573634
meta_analysis,SSCQ,HALLMARK TNFA SIGNALING VIA NFKB,6.0,-0.022246131867789627,0.5210513002282631,,,0.6002895163920081
meta_analysis,SSCQ,HALLMARK UNFOLDED PROTEIN RESPONSE,6.0,0.020679361080047476,0.022153017130446484,,,0.04013227741022914
meta_analysis,SSCQ,HALLMARK UV RESPONSE DN,6.0,-0.02891927568709569,0.49778349424572466,,,0.5761383035251443
meta_analysis,SSCQ,HALLMARK UV RESPONSE UP,6.0,0.013061614292545239,0.18332599808340277,,,0.2504453525729546
meta_analysis,SSCQ,HALLMARK WNT BETA CATENIN SIGNALING,6.0,0.005923302599097671,0.0877026117879627,,,0.13618417979497313
meta_analysis,SSCQ,HALLMARK XENOBIOTIC METABOLISM,6.0,0.026394271692831338,0.12334920979771033,,,0.1846545056851951
meta_analysis,SSCQ,Lysosomal Genes,6.0,0.05554693821346265,3.0082583415626355e-07,,,2.032606987542321e-06
meta_analysis,RS,HALLMARK ADIPOGENESIS,6.0,0.04094946467420073,0.11033803834600638,,,0.16819822918598532
meta_analysis,RS,HALLMARK ALLOGRAFT REJECTION,6.0,0.0191512934591116,0.11523361833965287,,,0.17354460593321216
meta_analysis,RS,HALLMARK ANDROGEN RESPONSE,6.0,-0.03214812318689861,0.06506552950160885,,,0.10631622467583146
meta_analysis,RS,HALLMARK ANGIOGENESIS,6.0,0.036509634109428764,0.16401417972428312,,,0.23035699399477966
meta_analysis,RS,HALLMARK APICAL JUNCTION,6.0,0.05251642988442038,0.002804674323271792,,,0.006552977390821945
meta_analysis,RS,HALLMARK APICAL SURFACE,6.0,-0.0020947658698544955,0.009322592917202907,,,0.01879555023629618
meta_analysis,RS,HALLMARK APOPTOSIS,6.0,0.0627619608156588,0.2439616597396097,,,0.3160125126160747
meta_analysis,RS,HALLMARK BILE ACID METABOLISM,6.0,0.003990522444724113,0.9398022261720721,,,0.9473812763831372
meta_analysis,RS,HALLMARK CHOLESTEROL HOMEOSTASIS,6.0,0.024951805379440747,0.052148874290836526,,,0.08795078534823479
meta_analysis,RS,HALLMARK COAGULATION,6.0,0.0467784022094499,0.0008246429732888414,,,0.002216782186260326
meta_analysis,RS,HALLMARK COMPLEMENT,6.0,-0.0009945618452366235,0.047138225189717414,,,0.08071613902348873
meta_analysis,RS,HALLMARK DNA REPAIR,6.0,-0.007179114787078258,0.41226485296728954,,,0.48616138321614333
