"model","n","median","IQR","SD","range","n_studies","study_median_range","study_median_IQR","cell_line_median_range","test","attribute","n_levels","statistic","p","p_adj","level","level_a","level_b","n_a","n_b","median_diff"
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.0238095238095238,0.0416666666666667,NA,"BJ","MRC-5",6,3,39.6086115025692
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.798324380933077,0.805335968379447,NA,"BJ","Primary",6,21,-9.53048161999561
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.0003996003996004,0.0013986013986014,NA,"BJ","TIG-3",6,9,16.2246989371996
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.00432900432900433,0.0101010101010101,NA,"BJ","WI-38",6,5,32.3462482350773
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.000863398088189948,0.00259019426456984,NA,"BJ hTERT","IMR-90",3,44,56.1171594316425
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.1,0.123529411764706,NA,"BJ hTERT","MRC-5",3,3,48.3121163715108
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.805335968379447,0.805335968379447,NA,"BJ hTERT","Primary",3,21,-0.826976751054005
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.00909090909090909,0.0190909090909091,NA,"BJ hTERT","TIG-3",3,9,24.9282038061412
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.0357142857142857,0.0545454545454545,NA,"BJ hTERT","WI-38",3,5,41.0497531040189
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.0709219858156028,0.0930851063829787,NA,"IMR-90","MRC-5",44,3,-7.80504306013174
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,3.05692345878933e-13,6.41953926345759e-12,NA,"IMR-90","Primary",44,21,-56.9441361826966
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,2.52007533463743e-06,2.6460791013693e-05,NA,"IMR-90","TIG-3",44,9,-31.1889556255014
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.0395031894965819,0.0553044652952146,NA,"IMR-90","WI-38",44,5,-15.0674063276237
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.000988142292490119,0.00259387351778656,NA,"MRC-5","Primary",3,21,-49.1390931225648
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.0363636363636364,0.0545454545454545,NA,"MRC-5","TIG-3",3,9,-23.3839125653696
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.25,0.291666666666667,NA,"MRC-5","WI-38",3,5,-7.26236326749191
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,4.19370734213313e-06,2.90736090921105e-05,NA,"Primary","TIG-3",21,9,25.7551805571952
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,3.04043782304652e-05,0.000127698388567954,NA,"Primary","WI-38",21,5,41.8767298550729
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.011988011988012,0.0228862047043865,NA,"TIG-3","WI-38",9,5,16.1215492978777
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.0238095238095238,0.0714285714285714,NA,"BJ","BJ hTERT",6,3,-15.9868972707361
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.14251392323812,0.199519492533369,NA,"BJ","IMR-90",6,44,5.55752688632969
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.547619047619048,0.654808959156785,NA,"BJ","MRC-5",6,3,-7.50949412467288
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.711901624945103,0.786838638097219,NA,"BJ","Primary",6,21,-6.37200405869666
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.775624375624376,0.814405594405594,NA,"BJ","TIG-3",6,9,-1.54909419878053
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.051948051948052,0.109646480002211,NA,"BJ","WI-38",6,5,-19.2940049464263
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.0151711378353377,0.0530989824236818,NA,"BJ hTERT","IMR-90",3,44,21.5444241570658
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.1,0.161538461538462,NA,"BJ hTERT","MRC-5",3,3,8.47740314606325
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.0108695652173913,0.0456521739130435,NA,"BJ hTERT","Primary",3,21,9.61489321203947
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.00909090909090909,0.0456521739130435,NA,"BJ hTERT","TIG-3",3,9,14.4378030719556
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,1,1,NA,"BJ hTERT","WI-38",3,5,-3.3071076756902
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.056490903484428,0.109646480002211,NA,"IMR-90","MRC-5",44,3,-13.0670210110026
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.00596159448711996,0.0456521739130435,NA,"IMR-90","Primary",44,21,-11.9295309450264
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.140691016255242,0.199519492533369,NA,"IMR-90","TIG-3",44,9,-7.10662108511022
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.00424671873066217,0.0456521739130435,NA,"IMR-90","WI-38",44,5,-24.851531832756
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.561264822134387,0.654808959156785,NA,"MRC-5","Primary",3,21,1.13749006597622
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.00909090909090909,0.0456521739130435,NA,"MRC-5","TIG-3",3,9,5.96039992589235
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.25,0.328125,NA,"MRC-5","WI-38",3,5,-11.7845108217535
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.085569662721087,0.149746909761902,NA,"Primary","TIG-3",21,9,4.82290985991613
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.0574338704773487,0.109646480002211,NA,"Primary","WI-38",21,5,-12.9220008877297
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","cell_line",NA,NA,0.028971028971029,0.076048951048951,NA,"TIG-3","WI-38",9,5,-17.7449107476458
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","tissue",NA,NA,4.40536496171262e-12,1.32160948851379e-11,NA,"Foreskin","Lung",25,61,50.8453628310552
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","tissue",NA,NA,0.327158154744362,0.327158154744362,NA,"Foreskin","Skin",25,5,-7.5650472040023
"scaled_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","tissue",NA,NA,0.000441822434238981,0.000662733651358472,NA,"Lung","Skin",61,5,-58.4104100350575
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","tissue",NA,NA,0.0203125952841463,0.0609377858524389,NA,"Foreskin","Lung",25,61,8.82554427948648
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","tissue",NA,NA,0.829298415505312,0.829298415505312,NA,"Foreskin","Skin",25,5,-0.0412829996232702
"yugene_diff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pairwise_within_proliferating","tissue",NA,NA,0.139354309412952,0.209031464119429,NA,"Lung","Skin",61,5,-8.86682727910975
