external_id,study,geo,series,condition,title,line_token_sample,characteristics,immortalisation_term_in_sample_record,matched_term,cell_line_resolved_studylevel,immortalised_studylevel,AGREES
SRR2970885,SRP066947,GSM1961170,"GSE75643,GSE76605",Proliferating,Cycling Day 4 Rep 3,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 4 | transduced with: empty vector (cycling) | time point: 4days after transduction,True,hTERT,Tig3ET,yes,True
SRR2970886,SRP066947,GSM1961171,"GSE75643,GSE76605",Oncogene-induced CS,BRAF OIS Day 4 Rep 3,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 4 | transduced with: pBabe-puro-BRAFE600 (OIS) | time point: 4days after transduction,True,hTERT,Tig3ET,yes,True
SRR2970888,SRP066947,GSM1961173,"GSE75643,GSE76605",Proliferating,Cycling Day 10 Rep 3,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | transduced with: empty vector (cycling) | time point: 10days after transduction,True,hTERT,Tig3ET,yes,True
SRR2970889,SRP066947,GSM1961174,"GSE75643,GSE76605",Oncogene-induced CS,BRAF OIS Day 10 Rep 3,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | transduced with: pBabe-puro-BRAFE600 (OIS) | time point: 10days after transduction,True,hTERT,Tig3ET,yes,True
SRR2970891,SRP066947,GSM1961176,"GSE75643,GSE76605",Proliferating,Cycling Control Serum 1,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | cutured in: 9% FBS DMEM medium for 10 days (cycling),True,hTERT,Tig3ET,yes,True
SRR2970892,SRP066947,GSM1961177,"GSE75643,GSE76605",Serum_starved CQ,Quiescent Serum Starvation 1,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | cutured in: 0% FBS DMEM medium for 10 days (quiescent),True,hTERT,Tig3ET,yes,True
SRR2970893,SRP066947,GSM1961178,"GSE75643,GSE76605",Proliferating,Cycling Control Serum 2,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | cutured in: 9% FBS DMEM medium for 10 days (cycling),True,hTERT,Tig3ET,yes,True
SRR2970894,SRP066947,GSM1961179,"GSE75643,GSE76605",Serum_starved CQ,Quiescent Serum Starvation 2,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | cutured in: 0% FBS DMEM medium for 10 days (quiescent),True,hTERT,Tig3ET,yes,True
SRR2970895,SRP066947,GSM1961180,"GSE75643,GSE76605",Proliferating,Cycling Control Serum 3,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | cutured in: 9% FBS DMEM medium for 10 days (cycling),True,hTERT,Tig3ET,yes,True
SRR2970896,SRP066947,GSM1961181,"GSE75643,GSE76605",Serum_starved CQ,Quiescent Serum Starvation 3,Tig3,cell line: Tig3 | cell type: diploid embryonic lung fibroblasts | day treament: 10 | cutured in: 0% FBS DMEM medium for 10 days (quiescent),True,hTERT,Tig3ET,yes,True
