analysis,label,cell_type,timepoint,pathway,observed,expected_from_weight,total_shift,z,p_emp,interpretable,p_emp_adj
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK ESTROGEN RESPONSE EARLY,-0.04083817859122502,0.0081351810813399,0.4856643182478602,-1.7902218297456485,0.07354632268386581,True,0.33785341982900857
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK ESTROGEN RESPONSE LATE,0.005130729688354143,0.007469035780969195,0.4856643182478602,-0.10523445449309705,0.9100544972751362,True,0.9741603828899463
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK FATTY ACID METABOLISM,-0.021880041929257937,0.005748933780843645,0.4856643182478602,-1.2013041504746542,0.22043897805109744,True,0.6271844472292514
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK G2M CHECKPOINT,-0.005649921079903208,0.0057439048473509596,0.4856643182478602,-0.510777770727548,0.5864706764661767,True,0.8731957341526863
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK GLYCOLYSIS,0.04790650744256655,0.007339206156775932,0.4856643182478602,1.6060704436455286,0.10534473276336183,True,0.3937036199037506
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK HEDGEHOG SIGNALING,-0.012010065899254622,0.001478319527136846,0.4856643182478602,-1.1331835054797628,0.2152392380380981,True,0.6203954508156946
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK HEME METABOLISM,0.044734956929369504,0.0063070111346510156,0.4856643182478602,1.7678436681984822,0.07654617269136543,True,0.3379375585676162
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK HYPOXIA,0.09229017128193416,0.009560884073748303,0.4856643182478602,2.5756353762505704,0.01224938753062347,True,0.1543422828858557
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK IL2 STAT5 SIGNALING,0.002876579701814864,0.007736130865578601,0.4856643182478602,-0.22191555199440088,0.815209239538023,True,0.9387502347247676
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK IL6 JAK STAT3 SIGNALING,-0.026019494641731717,0.002997718876430775,0.4856643182478602,-1.682695581018948,0.09164541772911354,True,0.37309055599851587
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK INFLAMMATORY RESPONSE,0.05412051942384988,0.00817111779641907,0.4856643182478602,1.4677873892425375,0.1367931603419829,True,0.4764257940949106
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK INTERFERON ALPHA RESPONSE,-0.029071338736956467,0.0036704621812881323,0.4856643182478602,-1.7399697569423405,0.0815959202039898,True,0.34270286485675716
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK INTERFERON GAMMA RESPONSE,0.0010010673907336481,0.007582214588563747,0.4856643182478602,-0.2918980261453648,0.7557122143892805,True,0.917028187052186
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK KRAS SIGNALING DN,0.009531332652692239,0.005462612251650558,0.4856643182478602,0.1791451533575197,0.8504574771261437,True,0.9455478107706706
