analysis,label,model,pathway,n_clock,n_nonzero,weight_share,total_shift,observed,expected_from_weight,ratio,ratio_reliable,null_mean,null_sd,z,p_emp,interpretable,p_emp_adj
meta_analysis,SIPS,scaled,HALLMARK INTERFERON GAMMA RESPONSE,134,30,0.0262464255577463,23.287343127710805,4.826416690743987,0.6112095178391571,7.89650119946935,True,0.7917587603277403,1.3905508277127916,2.9014818085093235,0.0097995100244987,False,
meta_analysis,SIPS,scaled,HALLMARK KRAS SIGNALING DN,110,31,0.0150518155041489,23.287343127710805,0.2459582724199066,0.3505167923401142,0.7017018236925091,True,0.2069188569766087,0.8294378356859767,0.0470673192898306,0.9552022398880056,False,
meta_analysis,SIPS,scaled,HALLMARK KRAS SIGNALING UP,155,46,0.0232272905683437,23.287343127710805,3.0888977918636997,0.5409018853920626,5.710643418491266,True,0.4971966668053588,1.182732890935127,2.1912818565561447,0.0352982350882455,True,0.3750437478126094
meta_analysis,SIPS,scaled,HALLMARK MITOTIC SPINDLE,159,18,0.0102920766135842,23.287343127710805,2.970027355717784,0.2396751195972247,12.391888489338942,True,0.1259076203417075,0.6709897685884296,4.2386931493147655,0.0042997850107494,False,
meta_analysis,SIPS,scaled,HALLMARK MTORC1 SIGNALING,131,28,0.0197176958311117,23.287343127710805,1.7613957753493978,0.4591727485069318,3.836019844550525,True,0.5590851173523533,1.1913329936061785,1.0092146062014422,0.2722863856807159,True,0.6612669366531674
meta_analysis,SIPS,scaled,HALLMARK MYC TARGETS,137,11,0.0053251411895909,23.287343127710805,-0.9997118777069932,0.1240083900855106,-8.061647095149262,True,0.1072644157158633,0.5735438807600359,-1.9300638199747489,0.0569971501424928,False,
meta_analysis,SIPS,scaled,HALLMARK MYOGENESIS,156,52,0.0341216826244272,23.287343127710805,3.845961729101745,0.794603331369885,4.840102699382547,True,0.5719321969679307,1.3391389901787207,2.4448765633333283,0.0209489525523723,True,0.2967768278252754
meta_analysis,SIPS,scaled,HALLMARK NOTCH SIGNALING,26,4,0.0029431687903581,23.287343127710805,-0.4019636613102109,0.0685385815038389,-5.8647794058547325,True,0.0063401932686592,0.4152396450718553,-0.983296897164564,0.2330383480825958,False,
meta_analysis,SIPS,scaled,HALLMARK OXIDATIVE PHOSPHORYLATION,103,11,0.0083391356490583,23.287343127710805,-1.7098579585445568,0.1941963132481482,-8.804791038229771,True,0.2352816026296129,0.7851961477797452,-2.477265797437151,0.0250487475626218,False,
meta_analysis,SIPS,scaled,HALLMARK P53 PATHWAY,141,36,0.0278645558413095,23.287343127710805,3.590872696950094,0.6488914729778329,5.53385711861984,True,0.8235902524307523,1.459060378576776,1.896619554030147,0.0615469226538673,True,0.4755898568707928
