"external_id","study","cell_line","tissue","cell_substate","immortalised_curated","immortalised","evidence","changed"
"SRR6243321","SRP123346","BJ","Foreskin","Oncogene-induced CS","yes","yes","ls|condition;;BJ Ctr (non targeting ShRNA 500)|source_name;;Immortalized primary fibroblasts cell line;;BJ cells|condition;;BJ C",FALSE
"SRR1560895","SRP045867","MRC-5","Lung","Proliferating","no","no",NA,FALSE
"SRR1560896","SRP045867","MRC-5","Lung","Proliferating","no","no",NA,FALSE
"SRR1560897","SRP045867","MRC-5","Lung","Proliferating","no","no",NA,FALSE
"SRR1560898","SRP045867","MRC-5","Lung","Contact_inhibited CQ","no","no",NA,FALSE
"SRR1560899","SRP045867","MRC-5","Lung","Contact_inhibited CQ","no","no",NA,FALSE
"SRR1560900","SRP045867","MRC-5","Lung","Contact_inhibited CQ","no","no",NA,FALSE
"SRR6048203","SRP117883","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR6048206","SRP117883","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR6048210","SRP117883","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR6048192","SRP117883","IMR-90","Lung","Proliferating","no","no",NA,FALSE
"SRR6048196","SRP117883","IMR-90","Lung","Oncogene-induced CS","no","no",NA,FALSE
"SRR6048199","SRP117883","IMR-90","Lung","Proliferating","no","no",NA,FALSE
