"analysis","label","cell_type","timepoint","pathway","cohens_d","wilcox_p","n_test","n_control","model","p_adj"
"meta_analysis","RS",NA,NA,"ECM organization/ EMT (brown4)",-0.335817302771155,0.120298429579756,11,91,"yugene",0.161940193665055
"meta_analysis","RS",NA,NA,"Fatty acid metabolism/ Peroxisome (ivory)",0.512647531987901,0.000355697770460406,11,91,"yugene",0.00079147337829974
"meta_analysis","RS",NA,NA,"Innate immunity/ Inflammation (turquoise)",2.41546469622431,4.97251176900804e-07,11,91,"yugene",3.48075823830563e-06
"meta_analysis","RS",NA,NA,"Interferon signaling (darkmagenta)",-0.109820590866084,0.914088116778618,11,91,"yugene",0.949787631760544
"meta_analysis","RS",NA,NA,"Mitochondrial translation/ OxPhos (pink)",1.01152403445957,0.00574806429583541,11,91,"yugene",0.0105885394923284
"meta_analysis","RS",NA,NA,"Muscle contraction/ Cytoskeleton/ Glycolysis (blue)",-1.20094118312543,0.000152654862909297,11,91,"yugene",0.000356194680121692
"meta_analysis","RS",NA,NA,"OxPhos/ Heme metabolism (white)",-1.71561744265475,1.02320732872161e-06,11,91,"yugene",5.11603664360803e-06
"meta_analysis","RS",NA,NA,"Protein folding/ Translation (plum1)",-1.27500529523391,0.000122707910810742,11,91,"yugene",0.000296191508853515
"meta_analysis","RS",NA,NA,"Protein processing in ER/ UPR (darkslateblue)",0.0455347427774663,0.922650842281671,11,91,"yugene",0.949787631760544
"meta_analysis","RS",NA,NA,"VEGF signaling (sienna3)",0.254373857087801,0.214731343165554,11,91,"yugene",0.268414178956942
"meta_analysis","RS",NA,NA,"mRNA splicing (darkred)",-0.48118395676287,0.0269935224388524,11,91,"yugene",0.0397341319533802
"meta_analysis","SIPS",NA,NA,"Adaptive immunity/ T cell signaling (darkgreen)",-1.07390211965761,7.43098582116206e-06,39,91,"yugene",2.69305433257353e-05
"meta_analysis","SIPS",NA,NA,"Cell cycle/ DNA replication (green)",1.44818565897727,1.56097357262297e-13,39,91,"yugene",1.09268150083608e-11
"meta_analysis","SIPS",NA,NA,"Chromatin modification (orange)",-0.413144390509624,0.0179092728848707,39,91,"yugene",0.0291546302776965
"meta_analysis","SIPS",NA,NA,"ECM organization/ EMT (brown4)",0.665626641348519,0.00416519043597097,39,91,"yugene",0.00809898140327688
"meta_analysis","SIPS",NA,NA,"Fatty acid metabolism/ Peroxisome (ivory)",-0.106653523742792,0.823115493298185,39,91,"yugene",0.914572770331316
"meta_analysis","SIPS",NA,NA,"Innate immunity/ Inflammation (turquoise)",1.27401552073892,6.96732671556788e-09,39,91,"yugene",6.09641087612189e-08
"meta_analysis","SIPS",NA,NA,"Interferon signaling (darkmagenta)",-1.21269017294978,1.39640346597802e-09,39,91,"yugene",1.62913737697435e-08
"meta_analysis","SIPS",NA,NA,"Mitochondrial translation/ OxPhos (pink)",0.558617080308433,0.000361816401508452,39,91,"yugene",0.00079147337829974
"meta_analysis","SIPS",NA,NA,"Muscle contraction/ Cytoskeleton/ Glycolysis (blue)",0.817110707147397,1.53600371928242e-05,39,91,"yugene",4.30081041399077e-05
"meta_analysis","SIPS",NA,NA,"OxPhos/ Heme metabolism (white)",-0.286229925698881,0.326826352122993,39,91,"yugene",0.381297410810158
"meta_analysis","SIPS",NA,NA,"Protein folding/ Translation (plum1)",0.421455812151305,0.139298003891273,39,91,"yugene",0.180571486525724
"meta_analysis","SIPS",NA,NA,"Protein processing in ER/ UPR (darkslateblue)",0.297032511369217,0.0278186884822507,39,91,"yugene",0.0397409835460724
"meta_analysis","SIPS",NA,NA,"VEGF signaling (sienna3)",1.34653038544127,1.73776548706428e-11,39,91,"yugene",2.43287168188999e-10
"meta_analysis","SIPS",NA,NA,"mRNA splicing (darkred)",-0.962815226809745,4.02510585137053e-09,39,91,"yugene",4.02510585137053e-08
"meta_analysis","OIS",NA,NA,"Adaptive immunity/ T cell signaling (darkgreen)",0.28059852477862,0.138400945894625,48,91,"yugene",0.180571486525724
"meta_analysis","OIS",NA,NA,"Cell cycle/ DNA replication (green)",1.55671038188826,1.67821312402339e-12,48,91,"yugene",3.91583062272124e-11
"meta_analysis","OIS",NA,NA,"Chromatin modification (orange)",0.0365681549886199,0.488142905638214,48,91,"yugene",0.551129087010887
"meta_analysis","OIS",NA,NA,"ECM organization/ EMT (brown4)",-0.819591321693203,9.52887049109878e-06,48,91,"yugene",2.77925389323714e-05
"meta_analysis","OIS",NA,NA,"Fatty acid metabolism/ Peroxisome (ivory)",1.08621726358762,4.46975789714088e-13,48,91,"yugene",1.56441526399931e-11
"meta_analysis","OIS",NA,NA,"Innate immunity/ Inflammation (turquoise)",0.772858348915041,3.26319968757538e-06,48,91,"yugene",1.34367045958986e-05
"meta_analysis","OIS",NA,NA,"Interferon signaling (darkmagenta)",-0.924627353529288,9.08692248231788e-07,48,91,"yugene",4.89295825970963e-06
"meta_analysis","OIS",NA,NA,"Mitochondrial translation/ OxPhos (pink)",1.47835565324693,3.47544215628659e-12,48,91,"yugene",6.08202377350153e-11
"meta_analysis","OIS",NA,NA,"Muscle contraction/ Cytoskeleton/ Glycolysis (blue)",0.253381155114523,0.220634378527329,48,91,"yugene",0.270954499945843
"meta_analysis","OIS",NA,NA,"OxPhos/ Heme metabolism (white)",-0.496244863825332,0.0142103786500282,48,91,"yugene",0.0236839644167137
"meta_analysis","OIS",NA,NA,"Protein folding/ Translation (plum1)",-0.464858702317279,6.91968572628104e-07,48,91,"yugene",4.03648334033061e-06
"meta_analysis","OIS",NA,NA,"Protein processing in ER/ UPR (darkslateblue)",0.916611570988433,6.17208426811899e-07,48,91,"yugene",3.927689988803e-06
"meta_analysis","OIS",NA,NA,"VEGF signaling (sienna3)",0.479679910373136,0.0183304357995684,48,91,"yugene",0.0291620569538588
"meta_analysis","OIS",NA,NA,"mRNA splicing (darkred)",0.423182297526725,0.0643933678534385,48,91,"yugene",0.0883830539164842
"temporal_pooled","Fibroblast","Fibroblast",NA,"Adaptive immunity/ T cell signaling (darkgreen)",0.0516512832723197,0.820410710570894,18,6,"scaled",0.861431246099438
"temporal_pooled","Fibroblast","Fibroblast",NA,"Cell cycle/ DNA replication (green)",10.3776285007331,1.48592825938364e-05,18,6,"scaled",5.20074890784273e-05
"temporal_pooled","Fibroblast","Fibroblast",NA,"Chromatin modification (orange)",-1.13813296111645,0.014799845463461,18,6,"scaled",0.0258997295610568
"temporal_pooled","Fibroblast","Fibroblast",NA,"ECM organization/ EMT (brown4)",-2.47018601575388,5.94371303753455e-05,18,6,"scaled",0.000192027651981885
"temporal_pooled","Fibroblast","Fibroblast",NA,"Fatty acid metabolism/ Peroxisome (ivory)",-6.18059881741038,1.48592825938364e-05,18,6,"scaled",5.20074890784273e-05
"temporal_pooled","Fibroblast","Fibroblast",NA,"Innate immunity/ Inflammation (turquoise)",-1.19747528319671,0.0657671847603198,18,6,"scaled",0.0986507771404797
"temporal_pooled","Fibroblast","Fibroblast",NA,"Interferon signaling (darkmagenta)",0.273658921370044,0.672917471544474,18,6,"scaled",0.724680353970972
"temporal_pooled","Fibroblast","Fibroblast",NA,"Mitochondrial translation/ OxPhos (pink)",2.28047636593093,1.48592825938364e-05,18,6,"scaled",5.20074890784273e-05
"temporal_pooled","Fibroblast","Fibroblast",NA,"Muscle contraction/ Cytoskeleton/ Glycolysis (blue)",0.73374961427487,0.0769265059882909,18,6,"scaled",0.107697108383607
"temporal_pooled","Fibroblast","Fibroblast",NA,"OxPhos/ Heme metabolism (white)",4.11760113692904,1.48592825938364e-05,18,6,"scaled",5.20074890784273e-05
