analysis,label,model,pathway,n_clock,n_nonzero,weight_share,total_shift,observed,expected_from_weight,ratio,null_mean,null_sd,z,p_emp,ratio_reliable,interpretable,p_emp_adj_DEPRECATED,p_floor
meta_analysis,RS,mortality,HALLMARK P53 PATHWAY,141,141,0.016167211850572717,1.1827251611596976,0.18834664005714885,0.01912136824147159,9.850060815661255,0.020036974064126082,0.04018873713995773,4.187980961105657,0.00014999250037498125,False,True,0.018374081295935204,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK PANCREAS BETA CELLS,19,19,0.0021431274675047583,1.1827251611596976,-0.00906869720976937,0.00253473077939034,-3.5777753138542776,0.0032270955550977006,0.015569595794463834,-0.7897310198148596,0.384030798460077,False,False,,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK PEROXISOME,78,78,0.007473686219614218,1.1827251611596976,0.04235543407165951,0.008839316738550236,4.79170905675752,0.008838205504560881,0.027098195717335412,1.2368804519946985,0.2064396780160992,False,True,0.6093701339029434,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK PI3K AKT MTOR SIGNALING,77,77,0.00753572285976886,1.1827251611596976,0.06769258377123138,0.008912689033774943,7.595079724503795,0.00796156003022441,0.025233104141338735,2.3671690730729873,0.021448927553622318,False,True,0.1876781160941953,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK PROTEIN SECRETION,76,76,0.006086314343357376,1.1827251611596976,0.012450944274096395,0.007198437112615932,1.7296732720321966,0.00910770001806835,0.025474212521889944,0.1312403377790462,0.8927053647317634,False,True,0.9549790750805807,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,28,28,0.002011187661546091,1.1827251611596976,-0.00593147599189093,0.002378682251124496,-2.4935974483716308,0.0006868320395690183,0.010210547151860367,-0.6481834844917287,0.47992600369981503,False,True,0.8625683823722484,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK SPERMATOGENESIS,74,74,0.006944162982624806,1.1827251611596976,0.00017254137804889347,0.00821303628274413,0.021008232778833427,0.00787907586054409,0.02425645762781277,-0.3177106319786276,0.7415629218539073,False,True,0.8837226407910374,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK TGF BETA SIGNALING,40,40,0.0038030510418912413,1.1827251611596976,0.022887477612082943,0.004497964156419374,5.0884081811587025,0.004561231834186849,0.019002585231414574,0.9644080294716756,0.311684415779211,False,True,0.7204026591123273,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK TNFA SIGNALING VIA NFKB,164,164,0.02051558885737916,1.1827251611596976,0.0800938241681893,0.024264303137629863,3.3008911780358208,0.03520287484951468,0.05109291564108796,0.8786139674239722,0.37413129343532825,False,True,0.7970623207970037,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK UNFOLDED PROTEIN RESPONSE,79,79,0.005677503185514547,1.1827251611596976,0.04025972448283816,0.006714925870072389,5.995557547741647,0.004855022331119526,0.02041231510995813,1.7344775426500487,0.08204589770511475,False,True,0.4102294885255738,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK UV RESPONSE DN,128,128,0.015899827602820805,1.1827251611596976,0.004750416264616858,0.018805126163957644,0.2526128366913922,0.0235828942679509,0.042943404000537026,-0.4385418073308425,0.655367231638418,False,True,0.8800572471376431,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK UV RESPONSE UP,104,104,0.010580882716733565,1.1827251611596976,0.01015630624977183,0.012514276216360564,0.8115775993895646,0.012766313254279392,0.03236259846675112,-0.0806488702441198,0.9363031848407579,False,True,0.9687870036877904,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK WNT BETA CATENIN SIGNALING,29,29,0.00313763120082529,1.1827251611596976,0.02845444006676641,0.0037109553676557866,7.667685878081875,0.004219280899851135,0.01837177612118756,1.3191516708591755,0.17164141792910353,False,True,0.5391300947773124,4.999750012499375e-05
meta_analysis,RS,mortality,HALLMARK XENOBIOTIC METABOLISM,136,136,0.015389593936548849,1.1827251611596976,-0.039332724766913234,0.018201659968787042,-2.1609416302888094,0.019721790738962647,0.039915077494265795,-1.4795039672504622,0.13394330283485825,False,True,0.4897926745453772,4.999750012499375e-05
meta_analysis,RS,mortality,Lysosomal Genes,138,138,0.012782859113620834,1.1827251611596976,0.015685888375269567,0.01511860910523891,1.0375219218965113,0.014242255999149824,0.03344838137587771,0.0431600070537602,0.9656017199140043,False,True,0.988470123818912,4.999750012499375e-05
meta_analysis,SIPS,mortality,HALLMARK ADIPOGENESIS,142,142,0.014679018794358702,0.7632880330800844,0.03688998328101814,0.011204319383091646,3.2924787325045854,0.0102929881607509,0.02463405783175301,1.0796838792017458,0.27478626068696566,False,True,0.6940477718382122,4.999750012499375e-05
meta_analysis,SIPS,mortality,HALLMARK ALLOGRAFT REJECTION,133,133,0.0154325030256147,0.7632880330800844,0.021700780883618168,0.011779444879923896,1.8422583665723957,0.01159029586451294,0.027975620893284484,0.3614034182716651,0.7124643767811609,False,True,0.8800572471376431,4.999750012499375e-05
