"label","pathway","cohens_d","wilcox_p","n_test","n_control","model","p_adj"
"SIPS","HALLMARK_INTERFERON_GAMMA_RESPONSE",1.45592743719707,1.06623376794346e-10,39,91,"scaled",1.25439266816877e-09
"SIPS","HALLMARK_KRAS_SIGNALING_DN",0.329753626790189,0.142036502668208,39,91,"scaled",0.194290055498805
"SIPS","HALLMARK_KRAS_SIGNALING_UP",0.681005805631743,7.4091629156392e-05,39,91,"scaled",0.000221169042257887
"SIPS","HALLMARK_MITOTIC_SPINDLE",2.15600610483491,2.22044604925031e-16,39,91,"scaled",1.11022302462516e-14
"SIPS","HALLMARK_MTORC1_SIGNALING",1.46657913898581,3.88578058618805e-14,39,91,"scaled",9.14301314397188e-13
"SIPS","HALLMARK_MYC_TARGETS_V1",-1.78326090499017,6.69789947404e-14,39,91,"scaled",1.41008409979789e-12
"SIPS","HALLMARK_MYC_TARGETS_V2",-0.976710891945055,2.03717654392462e-08,39,91,"scaled",1.66300126034663e-07
"SIPS","HALLMARK_MYOGENESIS",1.25993262186999,6.17190232254927e-09,39,91,"scaled",5.36687158482545e-08
"SIPS","HALLMARK_NOTCH_SIGNALING",-0.466398125293239,0.0119092644175495,39,91,"scaled",0.021266543602767
"SIPS","HALLMARK_OXIDATIVE_PHOSPHORYLATION",-1.36452361706302,3.08045442066306e-10,39,91,"scaled",3.24258360069795e-09
"SIPS","HALLMARK_P53_PATHWAY",1.46064507361764,6.78124223441046e-13,39,91,"scaled",1.17934647554964e-11
"SIPS","HALLMARK_PANCREAS_BETA_CELLS",1.289820804284,5.29349311051419e-08,39,91,"scaled",4.23479448841135e-07
"SIPS","HALLMARK_PEROXISOME",0.591696405686087,0.00112768350757397,39,91,"scaled",0.0026073607111537
"SIPS","HALLMARK_PI3K_AKT_MTOR_SIGNALING",2.00526457832949,0,39,91,"scaled",0
"SIPS","HALLMARK_PROTEIN_SECRETION",2.19044965570839,2.22044604925031e-16,39,91,"scaled",1.11022302462516e-14
"SIPS","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",-0.964216827181947,1.9815297881283e-06,39,91,"scaled",1.20092714432018e-05
"SIPS","HALLMARK_SPERMATOGENESIS",0.0123627087344849,0.768249068978136,39,91,"scaled",0.828237238512576
"SIPS","HALLMARK_TGF_BETA_SIGNALING",0.332974805351631,0.46752985296236,39,91,"scaled",0.553289766819361
"SIPS","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.904784896734847,2.72679969492984e-07,39,91,"scaled",1.9135436455648e-06
"SIPS","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",2.06345182008025,0,39,91,"scaled",0
"SIPS","HALLMARK_UV_RESPONSE_DN",-0.295300995560676,0.112943695551824,39,91,"scaled",0.160203823477765
"SIPS","HALLMARK_UV_RESPONSE_UP",0.991945646082445,2.3615114472797e-06,39,91,"scaled",1.40985758046549e-05
"SIPS","HALLMARK_WNT_BETA_CATENIN_SIGNALING",1.44436803801044,2.88500112688439e-10,39,91,"scaled",3.11892013717231e-09
"SIPS","HALLMARK_XENOBIOTIC_METABOLISM",-0.465954727917514,0.00598645906480248,39,91,"scaled",0.0113487375636066
"OIS","HALLMARK_ADIPOGENESIS",0.522728174169349,0.0013507705340976,48,91,"scaled",0.00306993303204
"OIS","HALLMARK_ALLOGRAFT_REJECTION",1.65756219746208,5.61550805855404e-13,48,91,"scaled",1.02100146519164e-11
"OIS","HALLMARK_ANDROGEN_RESPONSE",-1.55691783225101,1.68386043863097e-11,48,91,"scaled",2.24514725150796e-10
"OIS","HALLMARK_ANGIOGENESIS",1.50449778244822,8.83737527601625e-13,48,91,"scaled",1.47289587933604e-11
"OIS","HALLMARK_APICAL_JUNCTION",2.11327028981301,3.5527136788005e-15,48,91,"scaled",1.09314267040015e-13
"OIS","HALLMARK_APICAL_SURFACE",0.232177390011756,0.0116431910415402,48,91,"scaled",0.0208846476081439
"OIS","HALLMARK_APOPTOSIS",0.643899247359981,4.46995131575534e-07,48,91,"scaled",2.97551090506303e-06
"OIS","HALLMARK_BILE_ACID_METABOLISM",0.0442256154721953,0.527878248846455,48,91,"scaled",0.60850518599015
"OIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.589347382533984,1.0774409977321e-05,48,91,"scaled",5.03704494706318e-05
"OIS","HALLMARK_COAGULATION",1.27911863343851,9.25775012206032e-11,48,91,"scaled",1.1221515299467e-09
