external_id,mortality_tAge,study,group,condition,immortalised,cell_line
SRR1210372,1.8147242348224202,SRP040745,Replicative CS,RS,no,BJ
SRR1210373,0.9326396281726264,SRP040745,Proliferating,Proliferating,no,BJ
SRR5223435,-1.1036811512173645,SRP098713,Proliferating,Proliferating,no,IMR90
SRR5223436,-0.9685435795018578,SRP098713,Proliferating,Proliferating,no,IMR90
SRR5223437,-0.879817561627448,SRP098713,Proliferating,Proliferating,no,IMR90
SRR5223438,-0.6555331485987129,SRP098713,Stress-induced CS,SIPS,no,IMR90
SRR5223439,-0.7966779142015773,SRP098713,Stress-induced CS,SIPS,no,IMR90
SRR5223440,-0.815657129597242,SRP098713,Stress-induced CS,SIPS,no,IMR90
SRR2970373,1.2636231257496455,SRP066917,Proliferating,Proliferating,yes,BJ-hTERT
SRR2970374,1.0961876254829859,SRP066917,Oncogene-induced CS,OIS,yes,BJ-hTERT
SRR2970377,1.5944927643163753,SRP066917,Oncogene-induced CS,OIS,yes,BJ-hTERT
SRR1051229,-1.2900641483592818,SRP034541,Proliferating,Proliferating,no,IMR90
SRR1051230,-1.1943433572021154,SRP034541,Proliferating,Proliferating,no,IMR90
SRR1051231,0.1721321804543666,SRP034541,Replicative CS,RS,no,IMR90
SRR1051232,0.269957006070324,SRP034541,Replicative CS,RS,no,IMR90
SRR3180966,0.6861012435064339,SRP070636,Proliferating,Proliferating,no,IMR90
SRR3180967,1.1890533262012974,SRP070636,Oncogene-induced CS,OIS,no,IMR90
SRR6205675,-0.33556941397107815,SRP121031,Proliferating,Proliferating,no,IMR90
SRR6205676,0.5417147046267611,SRP121031,Replicative CS,RS,no,IMR90
SRR6205678,0.5700271649840487,SRP121031,Replicative CS,RS,no,IMR90
SRR6205684,0.8598684596569567,SRP121031,Replicative CS,RS,no,IMR90
SRR6205677,-0.35084850194064665,SRP121031,Proliferating,Proliferating,no,IMR90
SRR6205681,1.1573539916688154,SRP121031,Replicative CS,RS,no,IMR90
SRR6243319,1.2820495786703479,SRP123346,Proliferating,Proliferating,yes,BJ-hTERT
SRR6243320,1.1025872638612313,SRP123346,Oncogene-induced CS,OIS,yes,BJ-hTERT
SRR6243321,1.1337830825454676,SRP123346,Oncogene-induced CS,OIS,yes,BJ-hTERT
SRR1560895,0.02770254461787236,SRP045867,Proliferating,Proliferating,no,MRC-5
SRR1560896,-0.05631142376528972,SRP045867,Proliferating,Proliferating,no,MRC-5
SRR1560897,0.016598148554133607,SRP045867,Proliferating,Proliferating,no,MRC-5
SRR1560898,0.9264577513697208,SRP045867,Contact_inhibited CQ,CICQ,no,MRC-5
SRR1560899,0.8658860804099718,SRP045867,Contact_inhibited CQ,CICQ,no,MRC-5
SRR1560900,0.9857044694609889,SRP045867,Contact_inhibited CQ,CICQ,no,MRC-5
SRR6048203,1.3062818920197077,SRP117883,Oncogene-induced CS,OIS,no,IMR90
SRR6048206,2.2681724100911054,SRP117883,Proliferating,Proliferating,no,IMR90
SRR6048210,1.157612906726419,SRP117883,Oncogene-induced CS,OIS,no,IMR90
SRR6048192,-0.02268063319110658,SRP117883,Proliferating,Proliferating,no,IMR90
SRR6048196,1.2219467491535434,SRP117883,Oncogene-induced CS,OIS,no,IMR90
SRR6048199,0.09484945587704202,SRP117883,Proliferating,Proliferating,no,IMR90
