external_id,study,series,geo,condition,cell_line_curated,cell_line_resolved,line_token_sample,title,immortalised_curated,immortalised_VERIFIED,CHANGED_vs_curated,immortalisation_term_in_sample_record,matched_term,sample_record_agrees,evidence_level,tissue,characteristics
ERR1805198,ERP021140,,SAMEA54016918,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805199,ERP021140,,SAMEA54017668,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805200,ERP021140,,SAMEA54018418,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805201,ERP021140,,SAMEA54019168,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805202,ERP021140,,SAMEA54019918,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805203,ERP021140,,SAMEA54020668,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805204,ERP021140,,SAMEA54021418,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805205,ERP021140,,SAMEA54022168,Serum_starved CQ,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805206,ERP021140,,SAMEA54022918,Serum_starved CQ,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805207,ERP021140,,SAMEA54023668,Serum_starved CQ,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805208,ERP021140,,SAMEA54024418,Serum_starved CQ,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805209,ERP021140,,SAMEA54025168,Proliferating,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
