"cell_type","timepoint","pathway","n_pathway_genes","n_in_expression_data","n_overlap_EN_model_features","status","n_test","n_control","cohens_d_scaled","wilcox_p_scaled","cohens_d_yugene","wilcox_p_yugene","p_adj_scaled","p_adj_yugene","efficiency_score_scaled","efficiency_score_yugene"
"Fibroblast","20_days","HALLMARK_NOTCH_SIGNALING",32,29,23,"OK",6,6,-3.46395181281454,0.00216450216450216,-1.46068517821784,0.132034632034632,0.00450937950937951,0.19104689522696,0.745921422037529,0.31454143249184
"Fibroblast","20_days","HALLMARK_OXIDATIVE_PHOSPHORYLATION",200,197,101,"OK",6,6,-1.8167490058056,0.025974025974026,1.33963624908211,0.0649350649350649,0.0420442866486032,0.103619784470848,0.271704009955553,0.200349382107422
"Fibroblast","20_days","HALLMARK_P53_PATHWAY",200,182,133,"OK",6,6,2.83120705837671,0.00216450216450216,4.83301079163234,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.400067942925711,0.682935809949101
"Fibroblast","20_days","HALLMARK_PANCREAS_BETA_CELLS",40,15,11,"OK",6,6,1.21826504643955,0.0649350649350649,0.271683312291892,0.818181818181818,0.0954927425515661,0.864276568501921,0.329221697753138,0.073419196902462
"Fibroblast","20_days","HALLMARK_PEROXISOME",104,86,66,"OK",6,6,3.6143467429211,0.00216450216450216,9.97726075896197,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.593736148733309,1.6389850778806
"Fibroblast","20_days","HALLMARK_PI3K_AKT_MTOR_SIGNALING",105,89,67,"OK",6,6,2.69910733268173,0.00216450216450216,1.66164324779924,0.025974025974026,0.00450937950937951,0.0460169751508334,0.44185913501365,0.272020396997091
"Fibroblast","20_days","HALLMARK_PROTEIN_SECRETION",96,92,73,"OK",6,6,12.340943873312,0.00216450216450216,11.7773614307619,0.00216450216450216,0.00450937950937951,0.00496952027564273,1.98126554753346,1.89078571972759
"Fibroblast","20_days","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",49,45,24,"OK",6,6,-26.7853565226366,0.00216450216450216,0.342794481527893,0.588744588744589,0.00450937950937951,0.669027941755215,5.69847889321077,0.0729281731249306
"Fibroblast","20_days","HALLMARK_SPERMATOGENESIS",135,73,54,"OK",6,6,2.46368356511248,0.00216450216450216,3.96165260054897,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.424235060225934,0.682178488093047
"Fibroblast","20_days","HALLMARK_TGF_BETA_SIGNALING",54,52,39,"OK",6,6,-2.66585277416741,0.00216450216450216,1.15696585289893,0.484848484848485,0.00450937950937951,0.577200577200577,0.497587848306373,0.215950466164707
"Fibroblast","20_days","HALLMARK_TNFA_SIGNALING_VIA_NFKB",200,181,154,"OK",6,6,8.56406731129009,0.00216450216450216,6.06524207243212,0.00216450216450216,0.00450937950937951,0.00496952027564273,1.17551056949434,0.832519865098035
"Fibroblast","20_days","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",113,111,78,"OK",6,6,10.2546582599501,0.00216450216450216,-2.01370257348672,0.0151515151515152,0.00450937950937951,0.0284090909090909,1.62207764878617,0.318526649348517
"Fibroblast","20_days","HALLMARK_UV_RESPONSE_DN",144,142,127,"OK",6,6,-0.755433733291432,0.393939393939394,1.63066038630649,0.025974025974026,0.44540886249429,0.0460169751508334,0.107746291165658,0.232578452658935
"Fibroblast","20_days","HALLMARK_UV_RESPONSE_UP",158,137,94,"OK",6,6,3.55060381968273,0.00216450216450216,1.60749588983498,0.025974025974026,0.00450937950937951,0.0460169751508334,0.539198791077988,0.244116179804963
"Fibroblast","20_days","HALLMARK_WNT_BETA_CATENIN_SIGNALING",42,34,25,"OK",6,6,6.71049451218462,0.00216450216450216,-1.1155675299435,0.132034632034632,0.00450937950937951,0.19104689522696,1.41128354963842,0.234614915586523
"Fibroblast","20_days","HALLMARK_XENOBIOTIC_METABOLISM",200,132,98,"OK",6,6,0.563212104462132,0.484848484848485,6.23721927314517,0.00216450216450216,0.533451878195154,0.00496952027564273,0.0847718686820687,0.938795045375095
"Keratinocyte","4_days","HALLMARK_ADIPOGENESIS",200,180,130,"OK",6,6,3.597490536708,0.00216450216450216,3.48929821071598,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.510688424831579,0.495329783029482
"Keratinocyte","4_days","HALLMARK_ALLOGRAFT_REJECTION",200,112,82,"OK",6,6,0.885915237184013,0.17965367965368,0.735442325918187,0.24025974025974,0.2245670995671,0.320821611622799,0.138590620363609,0.11505097091979
"Keratinocyte","4_days","HALLMARK_ANDROGEN_RESPONSE",101,91,68,"OK",6,6,-0.956386082015227,0.0930735930735931,-0.0246451404539789,0.588744588744589,0.133811875025933,0.669027941755215,0.156035555769118,0.00402088472433809
"Keratinocyte","4_days","HALLMARK_ANGIOGENESIS",36,23,22,"OK",6,6,0.676562603947173,0.17965367965368,-0.250814986919558,0.818181818181818,0.2245670995671,0.864276568501921,0.147561207717786,0.0547038251414505
"Keratinocyte","4_days","HALLMARK_APICAL_JUNCTION",200,153,122,"OK",6,6,1.64003481321898,0.025974025974026,1.7974758775718,0.025974025974026,0.0420442866486032,0.0460169751508334,0.235833839026,0.258473560041305
"Keratinocyte","4_days","HALLMARK_APICAL_SURFACE",44,33,26,"OK",6,6,-1.75060909193408,0.025974025974026,-0.690810851993328,0.30952380952381,0.0420442866486032,0.395698051948052,0.364152245947506,0.143698741447959
"Keratinocyte","4_days","HALLMARK_APOPTOSIS",161,144,110,"OK",6,6,1.57948302183826,0.0411255411255411,0.633378361140768,0.30952380952381,0.0638154948499776,0.395698051948052,0.23202595426901,0.093043240493963
"Keratinocyte","4_days","HALLMARK_BILE_ACID_METABOLISM",112,68,57,"OK",6,6,0.0344984680045937,0.818181818181818,0.130711134631879,0.818181818181818,0.854250158194474,0.864276568501921,0.00586445033552327,0.0222197970427695
"Keratinocyte","4_days","HALLMARK_CHOLESTEROL_HOMEOSTASIS",74,70,56,"OK",6,6,2.17049807012782,0.00865800865800866,1.47830769312077,0.0649350649350649,0.0160996028764624,0.103619784470848,0.370519821066874,0.252357884798596
"Keratinocyte","4_days","HALLMARK_COAGULATION",138,91,60,"OK",6,6,0.643160294274655,0.484848484848485,0.758220563616764,0.24025974025974,0.533451878195154,0.320821611622799,0.10801798609708,0.127342217839556
"Keratinocyte","4_days","HALLMARK_COMPLEMENT",200,149,102,"OK",6,6,1.70517882097281,0.0151515151515152,1.93391026827419,0.00432900432900433,0.0259246456965088,0.00923247368744999,0.254487599725154,0.288624381328023
