"analysis","label","model","pathway","n_studies","contrib_diff_within_study","contrib_diff_pooled","wilcox_p_pooled","p_adj_pooled","studies_positive","p_perm","p_perm_adj"
"meta_analysis","SSCQ","scaled","HALLMARK UNFOLDED PROTEIN RESPONSE",6,0.359417088724285,0.301049876959087,0.0209165499939974,0.0353320101249956,5,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK UV RESPONSE DN",6,-1.66495189618546,-0.390407220440676,0.378310649898652,0.458006107084321,1,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","HALLMARK UV RESPONSE UP",6,1.10891047148488,1.5311669118388,0.00530243132245611,0.0101191437451453,5,0.0012998700129987,0.00233789570683219
"meta_analysis","SSCQ","scaled","HALLMARK WNT BETA CATENIN SIGNALING",6,0.197471410928889,0.702355213731494,0.0110370427811455,0.0199946427194664,4,0.384461553844616,0.436888129368881
"meta_analysis","SSCQ","scaled","HALLMARK XENOBIOTIC METABOLISM",6,-1.52639706092778,-1.85812066212846,9.71962034242883e-05,0.000282547102977582,2,9.99900009999e-05,0.00025507653316301
"meta_analysis","SSCQ","scaled","Lysosomal Genes",6,2.01041281212279,1.16983254221085,0.0087598655140797,0.0161026939597053,6,9.99900009999e-05,0.00025507653316301
"meta_analysis","RS","scaled","HALLMARK ADIPOGENESIS",6,0.533635049807828,0.344374357466986,0.795696683445894,0.839342493086386,3,0.261073892610739,0.307870156380588
"meta_analysis","RS","scaled","HALLMARK ALLOGRAFT REJECTION",6,-0.777256758818585,0.46087122775231,0.443692515385304,0.520765863128291,2,0.346465353464654,0.399153633023794
"meta_analysis","RS","scaled","HALLMARK ANDROGEN RESPONSE",6,-1.37841271852894,-1.35464321016201,1.67324669869535e-05,5.57748899565118e-05,0,0.0045995400459954,0.00692701814155934
"meta_analysis","RS","scaled","HALLMARK ANGIOGENESIS",6,2.99871528567165,0.647930497752667,0.20300912212567,0.265718746237788,6,0.0004999500049995,0.000991964295633929
"meta_analysis","RS","scaled","HALLMARK APICAL JUNCTION",6,2.31196906901773,2.093329848372,0.0181448777593849,0.0310699961633303,5,0.0047995200479952,0.00718491025148982
"meta_analysis","RS","scaled","HALLMARK APICAL SURFACE",6,-0.472722239080269,0.656529398058238,0.00470527888722616,0.00911875753338403,0,0.0003999600039996,0.000819590172130328
"meta_analysis","RS","scaled","HALLMARK APOPTOSIS",6,3.77617348499831,3.38322602336292,7.76975299210392e-07,3.13296491617093e-06,6,0.0003999600039996,0.000819590172130328
"meta_analysis","RS","scaled","HALLMARK BILE ACID METABOLISM",6,2.22148699184538,1.87684936819398,0.000419044463584761,0.00109126162391865,5,0.0014998500149985,0.00258594830172155
"meta_analysis","RS","scaled","HALLMARK CHOLESTEROL HOMEOSTASIS",6,0.330496671428968,-1.48835454251628,8.99666152832804e-05,0.000264607692009648,4,0.358064193580642,0.408749079429957
"meta_analysis","RS","scaled","HALLMARK COAGULATION",6,2.66688461773584,2.15003317402476,0.000341324178574576,0.000917538114447784,6,0.0006999300069993,0.00135645350193663
"meta_analysis","RS","scaled","HALLMARK COMPLEMENT",6,0.951181015765977,1.19235906844714,0.0414502382581354,0.0655858200286953,2,0.0914908509149085,0.11610514075496
"meta_analysis","RS","scaled","HALLMARK DNA REPAIR",6,-0.349651510716774,-0.417212590769199,0.0383248919840626,0.0610268980637939,2,0.0375962403759624,0.0510818483369054
"meta_analysis","RS","scaled","HALLMARK E2F TARGETS",6,5.16408352098585,3.00761431852633,9.83634028801639e-05,0.000282653456552195,6,0.0003999600039996,0.000819590172130328
"meta_analysis","RS","scaled","HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",6,4.13087189864294,0.118354970991489,0.914088116778618,0.928951338189653,6,0.0003999600039996,0.000819590172130328
"meta_analysis","RS","scaled","HALLMARK ESTROGEN RESPONSE EARLY",6,-0.311517200350256,0.319147999742101,0.697734435462422,0.75840699506785,3,0.27037296270373,0.317339158102969
"meta_analysis","RS","scaled","HALLMARK ESTROGEN RESPONSE LATE",6,-0.612469252284927,0.191848500375688,0.965579256276188,0.971465904069201,2,0.0962903709629037,0.121578751215788
"meta_analysis","RS","scaled","HALLMARK FATTY ACID METABOLISM",6,-0.459221345511506,-0.473547994348076,0.347943174115173,0.428501445954647,1,0.0682931706829317,0.0880066632512007
"meta_analysis","RS","scaled","HALLMARK G2M CHECKPOINT",6,3.47501953817765,1.24566319081422,0.00613942327050099,0.011540269305453,6,0.0003999600039996,0.000819590172130328
"meta_analysis","RS","scaled","HALLMARK GLYCOLYSIS",6,-1.91148528352636,-0.0200540193063519,0.738048459684764,0.788513311629021,1,0.0065993400659934,0.00976233737572988
"meta_analysis","RS","scaled","HALLMARK HEDGEHOG SIGNALING",6,-1.27578060946139,-0.855387499231212,0.00397058705257081,0.00781611624521813,0,0.0003999600039996,0.000819590172130328
"meta_analysis","RS","scaled","HALLMARK HEME METABOLISM",6,1.04039124179395,1.67288004904632,0.000419044463584761,0.00109126162391865,4,0.0074992500749925,0.0110283089338125
"meta_analysis","RS","scaled","HALLMARK HYPOXIA",6,2.28156331448032,1.72176615233907,0.0354021822422226,0.0571002939390687,6,0.0014998500149985,0.00258594830172155
"meta_analysis","RS","scaled","HALLMARK IL2 STAT5 SIGNALING",6,-0.754286269739482,-1.3553185043295,0.00397058705257081,0.00781611624521813,2,0.0720927907209279,0.0924266547704204
"meta_analysis","RS","scaled","HALLMARK IL6 JAK STAT3 SIGNALING",6,0.0215749969356106,0.0225913422716417,0.829169394135687,0.868847656866293,5,0.879112088791121,0.889789563553766
"meta_analysis","RS","scaled","HALLMARK INFLAMMATORY RESPONSE",6,3.7382345086347,2.49087644615811,0.0021072897339276,0.00454157270243017,6,0.0003999600039996,0.000819590172130328
"meta_analysis","RS","scaled","HALLMARK INTERFERON ALPHA RESPONSE",6,-2.99373451278255,-2.33593982196019,3.95041328734284e-05,0.000123450415229464,0,0.0012998700129987,0.00233789570683219
"meta_analysis","RS","scaled","HALLMARK INTERFERON GAMMA RESPONSE",6,1.87814721502231,1.66811691162741,0.112764889309276,0.159524993717266,4,0.0254974502549745,0.0356109640432605
"meta_analysis","RS","scaled","HALLMARK KRAS SIGNALING DN",6,0.581979198787398,0.613813172587472,0.120298429579756,0.168014566452173,5,0.0150984901509849,0.0213255510607131
"meta_analysis","RS","scaled","HALLMARK KRAS SIGNALING UP",6,2.9200297780148,2.19105125803636,0.320939992138993,0.397202960568061,6,0.0003999600039996,0.000819590172130328
"meta_analysis","RS","scaled","HALLMARK MITOTIC SPINDLE",6,4.49753120995149,3.2747803877498,3.34507404220474e-07,1.454958741009e-06,6,0.0003999600039996,0.000819590172130328
"meta_analysis","RS","scaled","HALLMARK MTORC1 SIGNALING",6,1.43428340697168,1.22882328151006,0.305413621876563,0.381767027345704,4,0.0122987701229877,0.0174698439246984
"meta_analysis","RS","scaled","HALLMARK MYC TARGETS",6,-1.68941642858483,-1.59096835320428,1.02214682703236e-05,3.5005028323026e-05,0,0.0003999600039996,0.000819590172130328
"meta_analysis","RS","scaled","HALLMARK MYOGENESIS",6,5.077461232794,1.98498074632598,0.142317465652875,0.190263991514539,6,0.0003999600039996,0.000819590172130328
"meta_analysis","RS","scaled","HALLMARK NOTCH SIGNALING",6,-0.385280070974432,0.0968582354053465,0.524442391667546,0.597147340324044,1,0.0014998500149985,0.00258594830172155
"meta_analysis","RS","scaled","HALLMARK OXIDATIVE PHOSPHORYLATION",6,-1.71574947667728,-0.740862790580918,0.0436515776172803,0.0686345560020131,0,0.0008999100089991,0.00171738551335706
"meta_analysis","RS","scaled","HALLMARK P53 PATHWAY",6,4.97062568567848,0.665774641400652,0.888463627781252,0.910311094038168,6,0.0003999600039996,0.000819590172130328
"meta_analysis","RS","scaled","HALLMARK PANCREAS BETA CELLS",6,0.0405061464312762,0.149685310670756,0.00011235726043668,0.000315610282125505,5,0.15038496150385,0.185203154561391
"meta_analysis","RS","scaled","HALLMARK PEROXISOME",6,0.77291293666815,0.270286858871673,0.0619876165546041,0.0927958331655749,6,0.0020997900209979,0.00354694260303699
"meta_analysis","RS","scaled","HALLMARK PI3K AKT MTOR SIGNALING",6,2.34288705459341,1.29646810941463,0.00290529813251128,0.00605270444273183,6,0.0003999600039996,0.000819590172130328
"meta_analysis","RS","scaled","HALLMARK PROTEIN SECRETION",6,0.423000646130524,0.475466096401586,5.56322985900692e-07,2.28001223729792e-06,6,0.0025997400259974,0.0043042053410553
"meta_analysis","RS","scaled","HALLMARK REACTIVE OXYGEN SPECIES PATHWAY",6,-0.112605193726474,-0.283992130379276,2.34698278104088e-05,7.52238070846437e-05,1,0.0337966203379662,0.0461702463633418
"meta_analysis","RS","scaled","HALLMARK SPERMATOGENESIS",6,-0.620074969997729,-0.471087048999879,0.025536538526501,0.0420008857343766,1,0.0010998900109989,0.00203683335370167
"meta_analysis","RS","scaled","HALLMARK TGF BETA SIGNALING",6,0.153457178168754,0.273649810743602,0.388100141500992,0.466466516227154,4,0.594440555944406,0.648952571991709
